,Question,Answer,Gemini_pro_model_output_v1,palm_bison32k_output_v1
10,Which pub in London conceals the entrance to Diagon Alley? , The Leaky Cauldron,,
11,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix? , Extendable Ears,,
12,Who is the Slytherin ghost? , The Bloody Baron,,
13,What does Harry name his children? ," James Sirius, Albus Severus, and Lily Luna",,
14,Where would you look to find a bezoar? , In the stomach of a goat,,
15,"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry? ", Piers,,
16,And what type of animal does Harry accidentally set free while they're at the zoo? , A boa constrictor ,,
17,What is the name of the couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from retuning to Hogwarts? , Mr. and Mrs. Mason,,
18,What does the boggart turn into when Mrs. Weasley sees it? , Her entire family and Harry lying dead on the floor,,
19,"In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak? ", Tonks,,
20,How was Hermione able to take extra lessons? , She used a time-turner,,
21,Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets? , Ginny Weasley,,
22,Which insect is Ron afraid of? , Spiders,,
23,What’s the name of Hagrid’s half-brother? , Grawp,,
24,What is Hermione’s patronus? , An otter,,
25,What is the name of the Weasley twins’ magic joke shop? , Weasleys’ Wizard Wheezes,,
26,Where was Harry Potter born? , Godric's Hollow,,
27,What is Professor McGonagall’s animagus? , Silver tabby cat,,
28,What is the name of the Gryffindor ghost? , Nearly Headless Nick.,,
29,What type of creature is Fluffy? , A three-headed dog,,
30,Who is Harry's godfather? , Sirius Black ,,
31,What is Voldemort's real name? , Tom Marvolo Riddle,,
32,What is the British term for a nonmagical person? , Muggle,,
33,"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley? ", Draco Malfoy,,
34,What is Harry's middle name? , James,,
35,What year do Hogwarts students take O.W.L.s? , Fifth year,,
36,Who sent Harry his Firebolt? , Sirius Black ,,
37,Which Weasley dies during the final battle of Hogwarts? , Fred Weasley,,
38,What magazine does Xenophilius Lovegood publish? , The Quibbler,,
39,Which incantation can levitate an object? , Wingardium Leviosa,,
40,What did Harry do to get him temporarily expelled from Hogwarts? , He chases away dementors ,,
41,What's the address of the Black family home? , 12 Grimmauld Place,,
42,When is Harry's birthday? , July 31,,
43,What is the correct birth order of the Weasley children? ," Bill, Charlie, Percy, Fred and George, Ron, Ginny",,
44,Who anonymously sends Harry his father's Invisibility Cloak on Christmas? , Albus Dumbledore,,
45,What is the animal symbol of Ravenclaw? , Eagle,,
46,What is the name of Hagrid's boarhound dog? , Fang,,
47,And what about his pet dragon? , Norbert,,
48,"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail? ", Wormtail,,
49,What is the name of the Weasley family home? , The Burrow,,
50,What potion gives good luck to those who drink it? , Felix Felicis,,
51,What is the maiden name of sisters Lily Potter and Petunia Dursley? , Evans,,
52,"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Greggory Goyle? ", Lavender Brown,,
53,What day did James and Lily Potter die? , Oct. 31,,
54,What class does Professor McGonagall teach? , Transfiguration,,
55,Who does Bill Weasley marry? , Fleur Delacour,,
56,What kind of wood is Harry's first wand made out of? , Holly,,
57,How many Horcruxes did Voldemort create intentionally? , Six,,
58,Who wrote A History of Magic? , Bathilda Bagshot,,
59,Who kills Dobby? , Bellatrix Lestrange,,
60,What house is Justin Finch-Fletchley in? , Hufflepuff,,
61,What does Hagrid use to channel the pieces of his wand once it's been broken? , A pink umbrella,,
62,How many players are on a Quidditch team? , Seven,,
63,What children's book contains the story of the Deathly Hallows? , The Tales of Beedle the Bard,,
64,Where is the entrance to the Chamber of Secrets hidden? , The girls' bathroom,,
65,What teleportation magic do sixth-years learn at Hogwarts? , Apparition,,
66,What kind of magical creature is Aragog? , Acromantula,,
67,What is Ron's favorite Quidditch team? , Chudley Cannons,,
68,When is Neville's birthday? , July 30,,
69,What is James Potter's Marauder nickname? , Prongs,,
70,How is the Grey Lady related to Rowena Ravenclaw? , She's Rowena's daughter.,,
71,What does Charlie Weasley do for a living after graduation? , Study dragons,,
72,What name does Buckbeak get after being saved from execution? , Witherwings,,
73,What is Dean Thomas's favorite sport? , Football (soccer),,
74,What does Harry do with his winnings from the Triwizard Tournament? , Gives it to the Weasley Twins,,
75,What is Voldemort's mother's name? , Merope,,
76,Who are the Chasers on the Gryffindor Quidditch team when Harry joins? ," Alicia Spinnet, Angelina Johnson, and Katie Bell",,
77,Who is the first person to ever successfully break into Gringotts? , Quirinus Quirrell,,
78,How is Bellatrix related to Tonks? , Tonks is Bellatrix's niece.,,
79,What family does Winky the house-elf belong to before working at Hogwarts? , The Crouch family,,
80,What is the full name of Nearly Headless Nick? , Sir Nicholas de Mimsy-Porpington,,
81,How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it? , 665,,
82,"Monkshood and wolfsbane are the same plant, also known as what? ", Aconite,,
83,How many staircases does Hogwarts have? , 142,,
84,"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort? ", 97,,
85,How many possible Quidditch fouls are there? , 700,,
86,Dumbledore has a scar above his left knee that is a perfect map of what? , The London Underground,,
87,"For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree? ", Gold,,
88,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance? , Boris the Bewildered,,
89,"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks? ", He jumps on Ron's head at the Magical Menagerie.,,
90,What is the max speed of a Firebolt broomstick? , 150 mph,,
91,"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal? ", Troy,,
92,Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf? , Hokey,,
93,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it? , Arnold,,
94,Who killed the Grey Lady? , The Bloody Baron,,
95,What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry? , Puddlemere United,,
96,What color is Teddy Lupin's hair when he is born? , Black,,
97,Which scent attracts Hermione Granger? ," Freshly mown grass, mint toothpaste, and fresh parchment",,
98,How many times did Gilderoy Lockhart win Witch Weekly's Most Charming Smile Award? , Five,,
99,What is the core of Draco Malfoy's wand? , Unicorn hair,,
100,Who is the matron of the orphanage where Voldemort grows up? , Mrs. Cole,,
101,What was the name of the orphanage where Lord Voldemort grew up? , Wool's Orphanage,,
102,"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked? ", Sir Cadogan,,
103,What does Professor Kettleburn wish to do after retiring from Hogwarts?,Enjoy more time with his remaining limbs,,
104,What is Lockhart's favorite color?,Lilac,,
105,"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party,,
106,What does Hermione say Jupiter's largest moon is?,Ganymede,,
107,When did Harry learn Accio?,Year 4,,
108,What is Lily Potter's birthday?,"Jan. 30, 1960",,
109,What is Snape's birthday?,"Jan. 9, 1960",,
110,Why did Hermione miss the lesson on Cheering Charms?,Draco's cruel behavior led her to miss the class.,,
111,"In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?",Mortal peril,,
112,What does Ginny say Ron has a tattoo of?,A Pygmy Puff,,
113,"What is the middle name of Harry's daughter, Lily?",Luna,,
114,"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,,
115,What is Ron's middle name?,Bilius,,
116,Who is the second Peverell brother?,Cadmus Peverell,,
117,What is the magical equipment store in Hogsmeade?,Dervish and Banges,,
118,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,,
119,Who is Neville Longbottom's father?,Frank Longbottom,,
120,What is Ginny's full name?,Ginevra Weasley,,
121,What is the name of the all-female Quidditch team?,Holyhead Harpies,,
122,Who is the the third Peverell brother?,Ignotus Peverell,,
123,What is Hermione’s middle name?,Jean,,
124,Who is the catlike magical creature with the tail of a lion?,Kneazle,,
125,What is Dumbledore’s favorite Muggle sweet?,Lemon drops,,
126,What does Mr. Weasley call Mrs. Weasley when they’re alone together?,Mollywobbles,,
127,What is the spell to turn off Lumos?,Nox,,
128,What is the color of Crookshanks’s fur?,Orange,,
129,Who is Nicolas Flamel’s wife?,Perenelle Flamel,,
130,What is the largest ball used in Quidditch?,The Quaffle,,
131,What is Dumbledore’s favorite flavor of jam?,Raspberry,,
132,What is Professor Trelawney’s first name?,Sybill,,
133,What is the number of Knuts in a Sickle?,29,,
134,Who are the employees of the Department of Mysteries?,Unspeakables,,
135,Who is Bill and Fleur's eldest child?,Victoire Weasley,,
136,What is Dumbledore's middle name?,Percival Wulfric Brian,,
137,What is the Christmas event held to celebrate the Triwizard Tournament?,Yule Ball,,
138,Which house is Hannah Abbott sorted into?,Hufflepuff,,
139,"In Harry Potter and the Prisoner of Azkaban, what name does Harry give Stan when he gets on the Knight Bus?",Neville Longbottom,,
140,What mascot do the Bulgarians bring to the Quidditch World Cup?,Veela,,
141,What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,,
142,What happened to Neville's parents?,They were tortured through the Cruciatus Curse and were then sent to St. Mungo's Hospital.,,
143,"During the third task in Harry Potter and the Goblet of Fire, what is the answer to the sphinx's riddle?",Spider,,
144,How was Rita Skeeter listening to private conversations at Hogwarts all year?,"She's secretly an Animagus and can turn into a beetle, so she was hiding all around school.",,
145,What does the Howler that Aunt Petunia receives say?,"Remember my last, Petunia.",,
146,Who tells Harry about the Room of Requirement?,Dobby,,
147,"In Harry Potter and the Goblet of Fire, what is the name of the Muggle whom Voldemort kills inside the Riddle House?",Frank Bryce,,
148,"How did Harry, Ron, and Hermione communicate to the other members of Dumbledore's Army that they were meeting?",Hermione created fake Galleons that show the date and time on the side.,,
149,"While Neville is at St. Mungo's, what does his mom give him as a gift?",A gum wrapper,,
150,What is the name of the centaur that replaces Trelawney as the professor of Divination?,Firenze,,
151,Why does the Order of the Phoenix move out of 12 Grimmauld Place after Sirius's death?,"Even though Sirius left Harry the house, they were afraid the deed would pass to Bellatrix.",,
152,What nickname does Ginny give Fleur in Harry Potter and the Half-Blood Prince?,Phlegm,,
153,How did Ginny end up at the Slug Club meeting on the Hogwarts Express?,Slughorn caught Ginny performing a really good hex.,,
154,"During his first visit with Tom Riddle, what does Dumbledore have Tom take out of his wardrobe at the orphanage?",A box of stuff he stole from other children,,
155,"While learning to Apparate, what are the ""three D's"" everyone must remember?","Destination, determination, deliberation",,
156,What's Ron's cover story as to why he's not at Hogwarts in Harry Potter and the Deathly Hallows?,He has a highly contagious case of spattergroit.,,
157,What fake name does Harry use while attending Bill and Fleur's wedding in disguise in Harry Potter and the Deathly Hallows?,Barny Weasley,,
158,"After breaking into the Ministry of Magic, what does Harry steal from Umbridge's office in Harry Potter and the Deathly Hallows?",Moody's magical eye,,
159,What quote is written on James and Lily's grave in Godric's Hollow?,The last enemy that shall be destroyed is death.,,
160,"How do the Death Eaters find Harry, Hermione, and Ron in the forest before they are taken to Malfoy Manor in the book Harry Potter and the Deathly Hallows?",Harry says Voldemort's name.,,
161,How does Peter Pettigrew die?,His silver hand strangles him after he shows Harry mercy.,,
162,What caused Ariana Dumbledore to stop using magic?,She was attacked by Muggle boys when she was 6 years old.,,
163,How do you get into Ravenclaw's common room?,You have to answer a question or riddle.,,
164,"And finally, how do Lily and Snape meet for the first time?",Snape lived in the same town and introduced himself to Lily after he saw her doing magic.,,
